type	latitude	longitude	altitude (m)	name
W	20.971698530	106.826591492	-0.8	Px1y1
W	20.971698530	106.835174561	2.2	Px2y1
W	20.971698530	106.843757629	7.9	Px3y1
W	20.971698530	106.852340698	9.5	Px4y1
W	20.971698530	106.860923767	4.7	Px5y1
W	20.971698530	106.869506836	2.4	Px6y1
W	20.971698530	106.878089905	2.4	Px7y1
W	20.971698530	106.886672974	1.9	Px8y1
W	20.971698530	106.895256042	3.0	Px9y1
W	20.971698530	106.903839111	4.7	Px10y1
W	20.971698530	106.912422180	2.2	Px11y1
W	20.971698530	106.921005249	4.0	Px12y1
W	20.971698530	106.929588318	7.6	Px13y1
W	20.971698530	106.938171387	74.5	Px14y1
W	20.971698530	106.946754456	200.4	Px15y1
W	20.971698530	106.955337524	46.6	Px16y1
W	20.971698530	106.963920593	33.8	Px17y1
W	20.971698530	106.972503662	35.9	Px18y1
W	20.971698530	106.981086731	40.7	Px19y1
W	20.971698530	106.989669800	18.0	Px20y1
W	20.971698530	106.998252869	4.2	Px21y1
W	20.971698530	107.006835938	18.4	Px22y1
W	20.971698530	107.015419006	1.6	Px23y1
W	20.971698530	107.024002075	92.8	Px24y1
W	20.971698530	107.032585144	23.2	Px25y1
W	20.971698530	107.041168213	8.1	Px26y1
W	20.971698530	107.049751282	2.4	Px27y1
W	20.971698530	107.058334351	0.0	Px28y1
W	20.971698530	107.066917419	0.0	Px29y1
W	20.971698530	107.075500488	0.0	Px30y1
W	20.971698530	107.084083557	16.1	Px31y1
W	20.963683812	106.826591492	9.6	Px1y2
W	20.963683812	106.835174561	3.0	Px2y2
W	20.963683812	106.843757629	29.4	Px3y2
W	20.963683812	106.852340698	26.6	Px4y2
W	20.963683812	106.860923767	3.4	Px5y2
W	20.963683812	106.869506836	0.0	Px6y2
W	20.963683812	106.878089905	1.2	Px7y2
W	20.963683812	106.886672974	0.6	Px8y2
W	20.963683812	106.895256042	2.3	Px9y2
W	20.963683812	106.903839111	0.8	Px10y2
W	20.963683812	106.912422180	0.1	Px11y2
W	20.963683812	106.921005249	0.0	Px12y2
W	20.963683812	106.929588318	2.6	Px13y2
W	20.963683812	106.938171387	9.1	Px14y2
W	20.963683812	106.946754456	15.2	Px15y2
